Customer_Name,Customer_Segment,Product_Sub_Category,Total Sales
Aaron Hawkins,Home Office,Appliances,4072.01
Pamela Stobb,Consumer,Binders and Binder Accessories,4070.18
Robert Marley,Corporate,Tables,4064.27
Mike Vittorini,Small Business,Binders and Binder Accessories,4064.05
Greg Maxwell,Home Office,Telephones and Communication,4054.06
Katharine Harms,Consumer,Tables,4046.25
Sara Luxemburg,Small Business,Office Machines,4043.29
Tom Prescott,Small Business,Chairs & Chairmats,4042.96
Mick Brown,Consumer,Office Furnishings,4036.96
Barry Gonzalez,Small Business,Telephones and Communication,4033.23
Shaun Chance,Corporate,Binders and Binder Accessories,4022.59
Kristina Nunn,Consumer,Storage & Organization,4012.58
Emily Phan,Consumer,Bookcases,4011.65
Cari MacIntyre,Corporate,Telephones and Communication,4007.44
Ralph Arnett,Consumer,Office Furnishings,4000.47
Ted Trevino,Corporate,Bookcases,3996.27
Amy Cox,Small Business,Appliances,3991.29
Katherine Nockton,Corporate,Computer Peripherals,3983.42
Tim Brockman,Consumer,Bookcases,3969.43
Matt Collister,Home Office,Copiers and Fax,3960.99
Darren Powers,Corporate,Office Furnishings,3953.62
Barry Franz,Corporate,Office Furnishings,3952.61
Carl Weiss,Consumer,Chairs & Chairmats,3950.6
Liz Price,Consumer,Chairs & Chairmats,3939.89
Eric Barreto,Small Business,Envelopes,3933.04
Luke Schmidt,Home Office,Telephones and Communication,3931.32
Tracy Blumstein,Home Office,Office Furnishings,3928.58
Sally Hughsby,Consumer,Binders and Binder Accessories,3928.25
Nicole Brennan,Home Office,Office Furnishings,3925.6
John Lee,Corporate,Computer Peripherals,3924
Harold Dahlen,Corporate,Tables,3923.27
Jeremy Ellison,Small Business,Computer Peripherals,3922.96
Linda Southworth,Consumer,Appliances,3918.13
Erica Smith,Small Business,Telephones and Communication,3917.85
Sarah Jordon,Consumer,Office Machines,3917.61
Bruce Degenhardt,Home Office,Telephones and Communication,3908.82
Nathan Mautz,Home Office,Telephones and Communication,3906.26
Vivian Mathis,Corporate,Tables,3905.75
Meg O'Connel,Corporate,Bookcases,3904.12
Clytie Kelty,Small Business,Chairs & Chairmats,3896.39
Stuart Calhoun,Consumer,Appliances,3888.07
Cathy Hwang,Home Office,Telephones and Communication,3886.13
Alan Hwang,Corporate,Appliances,3885.2
Nat Carroll,Home Office,Storage & Organization,3884.45
Dorothy Badders,Home Office,Tables,3881.89
Lindsay Castell,Corporate,Office Furnishings,3878.49
Sally Matthias,Corporate,Bookcases,3874.12
Yoseph Carroll,Consumer,Chairs & Chairmats,3872.87
Frank Gastineau,Small Business,Telephones and Communication,3872.63
Rick Duston,Corporate,Envelopes,3872.38
Fred Wasserman,Home Office,Telephones and Communication,3870.8
Patrick Jones,Home Office,Tables,3867.99
Carlos Meador,Corporate,Appliances,3855.89
Benjamin Patterson,Corporate,Storage & Organization,3852.33
Lauren Leatherbury,Corporate,Tables,3849.8
Liz Price,Consumer,Computer Peripherals,3849.59
Beth Thompson,Corporate,Office Furnishings,3847.07
John Castell,Small Business,Storage & Organization,3842.99
Luke Schmidt,Home Office,Computer Peripherals,3830.14
Tamara Dahlen,Corporate,Telephones and Communication,3821.04
Sonia Sunley,Corporate,Appliances,3816.59
Jill Fjeld,Home Office,Office Furnishings,3814.36
Tamara Dahlen,Corporate,Computer Peripherals,3812.73
Bill Eplett,Corporate,Office Furnishings,3807.26
Theresa Swint,Home Office,Tables,3801.27
Angele Hood,Consumer,Binders and Binder Accessories,3800.4
Harry Marie,Consumer,Storage & Organization,3782.84
Christina Vanderzanden,Small Business,Telephones and Communication,3780.47
Luke Weiss,Corporate,Office Machines,3780.16
Jennifer Patt,Home Office,Storage & Organization,3774.56
Fred McMath,Small Business,Storage & Organization,3759.32
Erica Hackney,Small Business,Computer Peripherals,3753.42
Michael Grace,Corporate,Office Furnishings,3753.04
Jack O'Briant,Consumer,Computer Peripherals,3751.77
Adam Hart,Corporate,Paper,3745.54
Erin Ashbrook,Consumer,Computer Peripherals,3730.67
Gary Zandusky,Home Office,Office Machines,3730.54
Pete Armstrong,Consumer,Telephones and Communication,3728.74
John Lucas,Corporate,Appliances,3725.53
Kean Thornton,Corporate,Appliances,3723.99
Thomas Seio,Home Office,Office Furnishings,3722.29
Jennifer Jackson,Home Office,Tables,3711.04
Bobby Trafton,Corporate,Appliances,3702.92
Katrina Bavinger,Consumer,Telephones and Communication,3701.52
Sally Matthias,Home Office,Office Machines,3699.22
Harold Pawlan,Small Business,Office Furnishings,3684.66
Shaun Weien,Home Office,Telephones and Communication,3683.73
Maureen Grace,Corporate,Telephones and Communication,3681.75
Dennis Pardue,Small Business,Paper,3676.96
Craig Leslie,Consumer,Chairs & Chairmats,3674.08
Cari Schnelling,Home Office,Appliances,3671.3
Toby Grace,Home Office,Telephones and Communication,3671.14
Jill Matthias,Consumer,Office Machines,3668.28
Thais Sissman,Small Business,Bookcases,3662.16
Cari Sayre,Corporate,Tables,3659.66
Resi Polking,Small Business,Telephones and Communication,3655.92
Nathan Gelder,Home Office,Chairs & Chairmats,3653.22
Magdelene Morse,Home Office,Computer Peripherals,3645.82
Daniel Byrd,Home Office,Bookcases,3645.45
Damala Kotsonis,Corporate,Appliances,3645.12
Jeremy Pistek,Corporate,Storage & Organization,3644.24
Ashley Jarboe,Home Office,Office Furnishings,3643.45
Matt Connell,Corporate,Bookcases,3640.83
Thais Sissman,Small Business,Telephones and Communication,3639.48
Karl Brown,Corporate,Tables,3635.63
David Philippe,Consumer,Telephones and Communication,3634.24
Andrew Roberts,Home Office,Binders and Binder Accessories,3633.03
Giulietta Dortch,Corporate,Chairs & Chairmats,3632.6
Justin Knight,Corporate,Office Furnishings,3631.81
Bradley Nguyen,Corporate,Tables,3617.64
Raymond Book,Consumer,Tables,3617.42
Russell Applegate,Home Office,Telephones and Communication,3615.89
Erica Bern,Corporate,Office Furnishings,3609.88
Brian Moss,Corporate,Telephones and Communication,3609.47
Evan Henry,Corporate,Telephones and Communication,3604.87
Katrina Willman,Consumer,Chairs & Chairmats,3602.12
Rick Bensley,Consumer,Computer Peripherals,3598.97
Bobby Odegard,Corporate,Telephones and Communication,3596.78
Larry Tron,Home Office,Paper,3596.37
Arthur Wiediger,Corporate,Computer Peripherals,3596.36
Aaron Smayling,Small Business,Telephones and Communication,3594.74
John Murray,Small Business,Telephones and Communication,3594.55
Georgia Rosenberg,Consumer,Appliances,3590.79
Patrick O'Donnell,Home Office,Tables,3590.33
Mick Brown,Consumer,Tables,3585.91
Cari Sayre,Corporate,Chairs & Chairmats,3583.87
Emily Grady,Home Office,Storage & Organization,3583.52
Kelly Williams,Corporate,Computer Peripherals,3582.98
Nick Radford,Corporate,Chairs & Chairmats,3582.79
Ben Wallace,Home Office,Binders and Binder Accessories,3581.52
Joni Wasserman,Consumer,Tables,3580.52
Corey Catlett,Home Office,Storage & Organization,3577.81
Damala Kotsonis,Corporate,Bookcases,3577.11
Stefania Perrino,Corporate,Chairs & Chairmats,3575.23
Dennis Kane,Small Business,Computer Peripherals,3574.01
John Huston,Consumer,Chairs & Chairmats,3571.84
Patrick O'Brill,Home Office,Office Machines,3565.27
Becky Pak,Corporate,Telephones and Communication,3563.94
Hallie Redmond,Small Business,Storage & Organization,3555.29
Bradley Drucker,Small Business,Storage & Organization,3553.62
Muhammed Yedwab,Consumer,Binders and Binder Accessories,3553.26
Nathan Mautz,Corporate,Copiers and Fax,3550.28
Harry Marie,Consumer,Chairs & Chairmats,3549.9
Grant Carroll,Corporate,Appliances,3548.67
Andrew Allen,Corporate,Telephones and Communication,3544.61
Matthew Grinstein,Small Business,Chairs & Chairmats,3537.84
Neil Knudson,Corporate,Chairs & Chairmats,3537.39
Karl Brown,Home Office,Tables,3532.96
Chuck Sachs,Consumer,Office Furnishings,3526.69
Lena Creighton,Home Office,Chairs & Chairmats,3524.55
Justin Ellison,Home Office,Computer Peripherals,3519.12
Toby Knight,Consumer,Telephones and Communication,3509.49
Xylona Price,Corporate,Storage & Organization,3508.33
Rose O'Brian,Home Office,Chairs & Chairmats,3505.6
Max Jones,Home Office,Tables,3503.56
Tamara Willingham,Corporate,Tables,3503.12
Tamara Willingham,Corporate,Office Machines,3501.79
Chuck Magee,Corporate,Storage & Organization,3500.49
Scot Coram,Corporate,Tables,3500.1
Ashley Jarboe,Home Office,Telephones and Communication,3492.66
Maureen Gastineau,Consumer,Chairs & Chairmats,3491.71
Harry Marie,Consumer,Telephones and Communication,3491.61
Matthew Grinstein,Small Business,Telephones and Communication,3477.24
Christine Sundaresam,Small Business,Office Furnishings,3475.97
Henry Goldwyn,Small Business,Computer Peripherals,3473.33
Craig Yedwab,Corporate,Tables,3467.28
Mike Kennedy,Small Business,Binders and Binder Accessories,3465.97
Jack Lebron,Corporate,Binders and Binder Accessories,3465.53
Bobby Elias,Small Business,Storage & Organization,3464.48
Noah Childs,Home Office,Telephones and Communication,3460.56
Maxwell Schwartz,Corporate,Copiers and Fax,3457.99
Alejandro Ballentine,Small Business,Tables,3457.56
Christy Brittain,Consumer,Telephones and Communication,3448.65
Karen Seio,Consumer,Telephones and Communication,3447.83
Chad McGuire,Small Business,Office Machines,3443.21
Muhammed Lee,Corporate,Office Machines,3441.09
Pauline Webber,Consumer,Computer Peripherals,3439.39
Jay Kimmel,Small Business,Office Furnishings,3436.9
James Galang,Consumer,Telephones and Communication,3436.77
Katrina Willman,Consumer,Binders and Binder Accessories,3425.01
Marc Harrigan,Home Office,Telephones and Communication,3419.15
Sheri Gordon,Corporate,Paper,3416.56
Shahid Shariari,Consumer,Bookcases,3416.38
Nora Price,Home Office,Storage & Organization,3415.63
John Murray,Small Business,Computer Peripherals,3413.69
Berenike Kampe,Corporate,Bookcases,3412.08
Aaron Hawkins,Home Office,Telephones and Communication,3410.16
Tony Chapman,Consumer,Storage & Organization,3401.8
Benjamin Venier,Small Business,Bookcases,3400.63
Joy Smith,Consumer,Paper,3397.08
Beth Paige,Consumer,Office Furnishings,3389.93
Sonia Sunley,Corporate,Bookcases,3379.01
Juliana Krohn,Corporate,Copiers and Fax,3378.18
Cindy Schnelling,Corporate,Telephones and Communication,3367.65
Aaron Hawkins,Home Office,Tables,3364.25
Jennifer Jackson,Home Office,Office Machines,3361.84
Juliana Krohn,Corporate,Office Machines,3360.3
Stephanie Phelps,Consumer,Office Machines,3356.92
Sandra Flanagan,Home Office,Telephones and Communication,3356.74
Daniel Byrd,Home Office,Binders and Binder Accessories,3355.39
Steve Chapman,Corporate,Chairs & Chairmats,3355.1
Eva Jacobs,Home Office,Envelopes,3353.54
Dave Hallsten,Home Office,Office Furnishings,3351.55
Greg Guthrie,Corporate,Chairs & Chairmats,3351.08
Katrina Bavinger,Consumer,Chairs & Chairmats,3344.11
Harold Dahlen,Corporate,Chairs & Chairmats,3335.27
Stephanie Ulpright,Consumer,Computer Peripherals,3333.1
Karl Brown,Corporate,Computer Peripherals,3331.81
Frank Gastineau,Small Business,Tables,3329.27
Corinna Mitchell,Corporate,Computer Peripherals,3323.44
Becky Castell,Consumer,Chairs & Chairmats,3316.08
Aaron Smayling,Small Business,Office Furnishings,3311.83
Nicole Brennan,Consumer,Bookcases,3308.28
Cindy Chapman,Corporate,Binders and Binder Accessories,3307.73
Rose O'Brian,Home Office,Office Machines,3302.65
Alice McCarthy,Corporate,Bookcases,3301.33
Jessica Myrick,Small Business,Computer Peripherals,3296.89
Maria Zettner,Corporate,Telephones and Communication,3292.35
Bruce Degenhardt,Home Office,Storage & Organization,3292.13
Marc Crier,Consumer,Office Machines,3279.01
Patrick Gardner,Consumer,Computer Peripherals,3277.39
Mary Zewe,Corporate,Telephones and Communication,3277
Philip Brown,Home Office,Chairs & Chairmats,3268.56
Dean Percer,Consumer,Bookcases,3267.41
Chuck Sachs,Consumer,Telephones and Communication,3265.41
Brendan Murry,Corporate,Office Machines,3259.25
Marc Crier,Consumer,Computer Peripherals,3259.03
George Zrebassa,Home Office,Storage & Organization,3249.09
Natalie Webber,Corporate,Binders and Binder Accessories,3243.72
Sharelle Roach,Home Office,Telephones and Communication,3231.56
Barry Gonzalez,Consumer,Telephones and Communication,3230.88
Tracy Zic,Consumer,Chairs & Chairmats,3227.38
Harry Marie,Consumer,Bookcases,3218.42
Brad Thomas,Corporate,Telephones and Communication,3214.67
Mike Vittorini,Small Business,Appliances,3213.87
Maureen Gastineau,Consumer,Envelopes,3212.97
Harold Dahlen,Corporate,Storage & Organization,3209.48
Lynn Smith,Corporate,Chairs & Chairmats,3207.53
Michelle Arnett,Home Office,Chairs & Chairmats,3205.24
Adam Hart,Corporate,Appliances,3202.87
Alan Hwang,Corporate,Chairs & Chairmats,3192.44
Steve Nguyen,Small Business,Envelopes,3191.24
Joy Daniels,Corporate,Chairs & Chairmats,3156.6
Liz MacKendrick,Corporate,Appliances,3142.53
Laura Armstrong,Corporate,Tables,3122.55
Brian Moss,Corporate,Chairs & Chairmats,3121.05
Maribeth Dona,Home Office,Bookcases,3116.47
Michelle Arnett,Home Office,Telephones and Communication,3109.53
Bill Overfelt,Corporate,Office Furnishings,3103.56
Ken Heidel,Corporate,Telephones and Communication,3093.86
Paul Van Hugh,Corporate,Appliances,3089.06
Dave Hallsten,Corporate,Binders and Binder Accessories,3087.57
Erin Mull,Small Business,Office Machines,3083.04
Barbara Fisher,Small Business,Bookcases,3081.95
Rick Duston,Corporate,Telephones and Communication,3081.47
Liz Price,Corporate,Computer Peripherals,3075.83
Ken Brennan,Consumer,Tables,3072.86
Ken Lonsdale,Consumer,Computer Peripherals,3068.12
Giulietta Weimer,Home Office,Computer Peripherals,3066.49
Stephanie Phelps,Consumer,Appliances,3064.27
Deanra Eno,Corporate,Office Furnishings,3062.22
Ted Trevino,Corporate,Computer Peripherals,3060.37
John Castell,Small Business,Paper,3055.48
Thea Hendricks,Home Office,Envelopes,3055.17
Eugene Barchas,Home Office,Office Machines,3051.27
Nora Price,Small Business,Bookcases,3050.81
Sally Hughsby,Consumer,Tables,3049.63
Mitch Willingham,Corporate,Office Machines,3046.01
Quincy Jones,Corporate,Bookcases,3044.7
Christina Anderson,Corporate,Chairs & Chairmats,3041.33
Georgia Rosenberg,Consumer,Storage & Organization,3036.82
Grant Thornton,Corporate,Appliances,3033.5
Mitch Webber,Corporate,Office Machines,3029.97
Roy Skaria,Corporate,Binders and Binder Accessories,3029.47
David Flashing,Consumer,Tables,3028.86
Eric Hoffmann,Small Business,Office Furnishings,3024.86
Kristen Hastings,Small Business,Tables,3023.73
Brendan Dodson,Corporate,Office Machines,3019.41
Bryan Spruell,Home Office,Telephones and Communication,3016.87
Mitch Willingham,Corporate,Storage & Organization,3016.85
Barry Gonzalez,Small Business,Office Machines,3008.5
Jesus Ocampo,Small Business,Labels,3007.36
Sally Hughsby,Consumer,Telephones and Communication,2998.32
Bobby Elias,Small Business,Appliances,2996.93
Ryan Akin,Consumer,Telephones and Communication,2996.62
Christy Brittain,Consumer,Storage & Organization,2994.11
Beth Fritzler,Small Business,Telephones and Communication,2987.73
Tracy Collins,Consumer,Paper,2986.76
Juliana Krohn,Small Business,Tables,2982.5
Allen Golden,Consumer,Telephones and Communication,2980.37
Sarah Foster,Corporate,Telephones and Communication,2977.75
Cari Sayre,Home Office,Bookcases,2976.21
Gary Zandusky,Home Office,Telephones and Communication,2973.37
Patrick Bzostek,Consumer,Telephones and Communication,2969.64
Vivek Sundaresam,Home Office,Bookcases,2966.13
Jim Kriz,Consumer,Office Furnishings,2964.18
Thea Hudgings,Consumer,Bookcases,2962.96
Jamie Kunitz,Corporate,Office Furnishings,2960.26
Bobby Odegard,Corporate,Storage & Organization,2954.14
Bill Stewart,Corporate,Office Machines,2951.97
Clay Cheatham,Small Business,Telephones and Communication,2951.44
Philip Brown,Corporate,Tables,2946.05
Grant Thornton,Corporate,Computer Peripherals,2945.63
Sandra Glassco,Home Office,Paper,2942.77
Erica Smith,Small Business,Office Furnishings,2922.53
Corinna Mitchell,Corporate,Office Machines,2920.83
Guy Phonely,Corporate,Telephones and Communication,2913.15
Ed Braxton,Home Office,Computer Peripherals,2910.86
Monica Federle,Corporate,Storage & Organization,2909.38
Alan Haines,Consumer,Tables,2907.63
Brendan Sweed,Consumer,Office Furnishings,2905.93
Dean Katz,Home Office,Chairs & Chairmats,2903.89
Alan Shonely,Small Business,Computer Peripherals,2899.98
Jennifer Patt,Home Office,Bookcases,2896.99
Laurel Elliston,Home Office,Telephones and Communication,2896.36
Larry Tron,Home Office,Computer Peripherals,2896.14
Sean Miller,Small Business,Tables,2894.68
Harold Dahlen,Corporate,Office Machines,2893.31
Keith Dawkins,Home Office,Office Furnishings,2890.1
Roland Black,Small Business,Telephones and Communication,2880.61
Chuck Clark,Corporate,Storage & Organization,2880.19
Mark Packer,Small Business,Appliances,2869.44
Cynthia Arntzen,Small Business,Computer Peripherals,2866.15
Ionia McGrath,Home Office,Telephones and Communication,2860.93
Cynthia Voltz,Corporate,Office Furnishings,2860.19
Luke Foster,Corporate,Storage & Organization,2854.76
Pete Takahito,Corporate,Bookcases,2851.17
Karen Seio,Consumer,Storage & Organization,2850.31
Randy Ferguson,Home Office,Storage & Organization,2848.83
Seth Vernon,Home Office,Telephones and Communication,2846.36
Ashley Jarboe,Small Business,Tables,2844.64
Katherine Murray,Home Office,Telephones and Communication,2842.42
Vicky Freymann,Home Office,Envelopes,2833.19
Victoria Pisteka,Corporate,Binders and Binder Accessories,2830.79
Thomas Brumley,Consumer,Office Furnishings,2829.25
Theresa Swint,Consumer,Binders and Binder Accessories,2827.29
Karl Brown,Home Office,Computer Peripherals,2825.93
Joy Smith,Corporate,Computer Peripherals,2825.25
Chuck Sachs,Consumer,Storage & Organization,2818.76
Sean Christensen,Home Office,Office Machines,2813.34
Michelle Tran,Home Office,Tables,2811.7
Nat Gilpin,Consumer,Storage & Organization,2809.93
Anthony Johnson,Small Business,Computer Peripherals,2805.78
Michael Granlund,Home Office,Appliances,2798.98
Justin Ellison,Home Office,Office Machines,2797.41
Neil Knudson,Corporate,Storage & Organization,2796.67
Michael Stewart,Small Business,Telephones and Communication,2792.37
Justin Ellison,Home Office,Tables,2789.03
Sarah Jordon,Consumer,Storage & Organization,2788.04
Irene Maddox,Consumer,Telephones and Communication,2784.86
Deborah Brumfield,Small Business,Storage & Organization,2784.77
Doug Jacobs,Home Office,Office Furnishings,2784.57
Elizabeth Moffitt,Consumer,Computer Peripherals,2784.22
Tony Chapman,Consumer,Office Furnishings,2780.88
Pauline Johnson,Corporate,Bookcases,2773.84
Art Foster,Home Office,Computer Peripherals,2771.04
Neola Schneider,Home Office,Tables,2770.35
Dave Poirier,Small Business,Telephones and Communication,2769.57
Ed Ludwig,Consumer,Paper,2769.48
Neil Ducich,Home Office,Telephones and Communication,2766.82
MaryBeth Skach,Home Office,Telephones and Communication,2762.86
Cathy Armstrong,Consumer,Tables,2756.17
Benjamin Farhat,Home Office,Storage & Organization,2752.68
Chad Sievert,Corporate,Computer Peripherals,2752
Philip Fox,Home Office,Telephones and Communication,2750.71
Darren Budd,Consumer,Telephones and Communication,2750.11
Anna Haberlin,Corporate,Office Furnishings,2748.8
MaryBeth Skach,Home Office,Appliances,2747.02
Ritsa Hightower,Corporate,Storage & Organization,2746.57
Jas O'Carroll,Corporate,Telephones and Communication,2738.79
Benjamin Patterson,Corporate,Telephones and Communication,2732.73
Guy Phonely,Corporate,Office Machines,2732.01
Victoria Wilson,Home Office,Telephones and Communication,2731.73
Christopher Schild,Corporate,Computer Peripherals,2729.16
Ionia McGrath,Small Business,Envelopes,2728.42
Pauline Chand,Small Business,Storage & Organization,2723.1
Frank Hawley,Home Office,Storage & Organization,2719.05
Irene Maddox,Consumer,Office Furnishings,2718.07
Alan Barnes,Corporate,Office Machines,2713.52
Lena Radford,Small Business,Paper,2711.09
Phillip Flathmann,Small Business,Telephones and Communication,2710.51
Gary McGarr,Home Office,Telephones and Communication,2706.83
Fred McMath,Small Business,Chairs & Chairmats,2702.3
Alan Hwang,Small Business,Bookcases,2701.69
Adrian Shami,Consumer,Chairs & Chairmats,2700.78
Don Miller,Home Office,Appliances,2700.41
Jim Epp,Small Business,Paper,2696.27
Deanra Eno,Corporate,Office Machines,2694.01
Shirley Jackson,Corporate,Telephones and Communication,2693.51
Kristina Nunn,Consumer,Telephones and Communication,2692.69
Toby Swindell,Small Business,Appliances,2690.84
Michelle Huthwaite,Home Office,Telephones and Communication,2688.08
John Murray,Small Business,Envelopes,2683.16
Sean Christensen,Home Office,Appliances,2682.8
Cari Sayre,Home Office,Office Furnishings,2667.92
Art Foster,Home Office,Tables,2665.64
Anthony Garverick,Small Business,Telephones and Communication,2660.61
Sibella Parks,Small Business,Appliances,2658.23
Sally Hughsby,Home Office,Tables,2657.56
Eugene Hildebrand,Home Office,Bookcases,2657.12
Dorothy Wardle,Corporate,Telephones and Communication,2654.25
Hunter Lopez,Consumer,Office Machines,2654.16
Erica Hackney,Small Business,Office Furnishings,2653.18
Nicole Brennan,Home Office,Tables,2651.21
Bill Donatelli,Corporate,Computer Peripherals,2650.97
Dave Hallsten,Home Office,Binders and Binder Accessories,2650.39
Astrea Jones,Corporate,Bookcases,2645.88
Dana Kaydos,Corporate,Storage & Organization,2645.8
Christine Phan,Small Business,Telephones and Communication,2644.39
Tracy Zic,Consumer,Tables,2642.95
Frank Atkinson,Corporate,Telephones and Communication,2640.69
Barry Gonzalez,Small Business,Tables,2638.79
Emily Grady,Home Office,Computer Peripherals,2637.94
Giulietta Weimer,Corporate,Telephones and Communication,2634.86
Mike Kennedy,Corporate,Office Furnishings,2629.68
Giulietta Dortch,Small Business,Tables,2629.66
Tony Chapman,Consumer,Telephones and Communication,2628.05
Christina Vanderzanden,Small Business,Storage & Organization,2627.45
Jonathan Doherty,Corporate,Binders and Binder Accessories,2618.47
Erin Creighton,Corporate,Tables,2618.11
Pierre Wener,Home Office,Storage & Organization,2617.13
Craig Leslie,Consumer,Storage & Organization,2615.4
Sean Braxton,Small Business,Computer Peripherals,2611.8
Jas O'Carroll,Corporate,Paper,2611.77
Jennifer Braxton,Small Business,Binders and Binder Accessories,2611.28
Michael Nguyen,Small Business,Envelopes,2609.53
Duane Benoit,Home Office,Office Machines,2608.79
Roy Skaria,Corporate,Computer Peripherals,2607.95
Harold Dahlen,Corporate,Telephones and Communication,2606.18
Kean Nguyen,Small Business,Telephones and Communication,2604.32
Jennifer Jackson,Home Office,Computer Peripherals,2602.27
Jill Stevenson,Consumer,Telephones and Communication,2601.79
Laurel Beltran,Consumer,Copiers and Fax,2600.44
Karl Brown,Home Office,Paper,2600.07
Carlos Soltero,Consumer,Office Furnishings,2599.35
Eva Jacobs,Home Office,Office Furnishings,2595.07
Sara Luxemburg,Small Business,Telephones and Communication,2594.7
Tonja Turnell,Consumer,Computer Peripherals,2587.53
Alan Barnes,Corporate,Telephones and Communication,2583.35
Christopher Conant,Home Office,Chairs & Chairmats,2580.67
Eric Barreto,Small Business,Binders and Binder Accessories,2579.64
Clytie Kelty,Small Business,Paper,2575.8
Michael Granlund,Home Office,Computer Peripherals,2575.01
Melanie Page,Corporate,Chairs & Chairmats,2573.92
Astrea Jones,Corporate,Chairs & Chairmats,2573.29
Caroline Jumper,Corporate,Telephones and Communication,2569.63
Sally Knutson,Corporate,Envelopes,2568.71
Brendan Murry,Corporate,Tables,2567.64
Nick Zandusky,Small Business,Office Furnishings,2567.13
Kimberly Carter,Small Business,Appliances,2564.45
Brad Thomas,Home Office,Computer Peripherals,2562.55
Laurel Elliston,Corporate,Appliances,2562.12
Stefania Perrino,Corporate,Telephones and Communication,2560.94
Michael Granlund,Corporate,Computer Peripherals,2560.59
Bill Shonely,Small Business,Computer Peripherals,2557.87
Denny Blanton,Home Office,Computer Peripherals,2557.74
Charlotte Melton,Home Office,Office Furnishings,2556.32
Harold Dahlen,Consumer,Telephones and Communication,2555.8
Dave Brooks,Corporate,Chairs & Chairmats,2555.37
Quincy Jones,Home Office,Office Furnishings,2553.84
Victoria Brennan,Small Business,Appliances,2552.97
Tony Molinari,Corporate,Appliances,2550.12
Eric Barreto,Consumer,Binders and Binder Accessories,2546.56
Peter McVee,Small Business,Storage & Organization,2545.89
Russell Applegate,Small Business,Telephones and Communication,2544.99
Bradley Nguyen,Consumer,Computer Peripherals,2542.16
Jack Lebron,Corporate,Computer Peripherals,2541.67
Muhammed Lee,Consumer,Chairs & Chairmats,2537.88
Sara Luxemburg,Small Business,Paper,2537.49
Cynthia Arntzen,Small Business,Office Furnishings,2536.75
Matthew Grinstein,Small Business,Storage & Organization,2536.49
Toby Swindell,Small Business,Storage & Organization,2536.31
Dan Lawera,Corporate,Storage & Organization,2536.18
Jane Waco,Corporate,Telephones and Communication,2532.62
Harold Engle,Consumer,Office Machines,2531.35
Sheri Gordon,Corporate,Telephones and Communication,2531.09
Frank Price,Corporate,Telephones and Communication,2527.92
Dionis Lloyd,Small Business,Tables,2527.79
Cindy Chapman,Consumer,Telephones and Communication,2525.99
Nora Price,Small Business,Office Furnishings,2518.71
Noel Staavos,Home Office,Paper,2517.21
Julia West,Consumer,Office Furnishings,2512.79
Christopher Schild,Corporate,Office Furnishings,2511.92
Bryan Mills,Small Business,Telephones and Communication,2508.64
Tamara Willingham,Corporate,Telephones and Communication,2508.32
Toby Swindell,Small Business,Bookcases,2507.79
Richard Eichhorn,Consumer,Appliances,2507.48
Clytie Kelty,Small Business,Computer Peripherals,2507.16
Nora Paige,Consumer,Tables,2506.38
Gene Hale,Consumer,Telephones and Communication,2506.27
Amy Hunt,Home Office,Office Furnishings,2504.41
Noah Childs,Home Office,Office Machines,2503.86
William Brown,Corporate,Chairs & Chairmats,2502.67
Aaron Bergman,Corporate,Paper,2501.91
Brian DeCherney,Corporate,Computer Peripherals,2498.59
Cindy Stewart,Corporate,Tables,2489.85
Jennifer Patt,Home Office,Telephones and Communication,2488.48
Sample Company A,Home Office,Telephones and Communication,2484.75
Raymond Book,Consumer,Bookcases,2483.53
Matt Abelman,Home Office,Paper,2482.43
Magdelene Morse,Home Office,Binders and Binder Accessories,2478.88
Tom Ashbrook,Home Office,Telephones and Communication,2478.48
Doug Bickford,Corporate,Appliances,2475.83
Natalie Webber,Corporate,Paper,2469.15
Richard Bierner,Small Business,Storage & Organization,2466.02
Vicky Freymann,Home Office,Telephones and Communication,2464.05
Linda Southworth,Consumer,Telephones and Communication,2458.24
Liz MacKendrick,Corporate,Labels,2455.54
Doug Bickford,Corporate,Office Furnishings,2441.4
Claire Good,Home Office,Office Furnishings,2438.7
Clay Ludtke,Consumer,Telephones and Communication,2438.37
Lauren Leatherbury,Home Office,Office Furnishings,2437.67
Hilary Holden,Corporate,Appliances,2435.32
Kelly Lampkin,Home Office,Office Furnishings,2431.13
Pauline Johnson,Corporate,Office Furnishings,2429.09
Jason Klamczynski,Small Business,Telephones and Communication,2428.91
Michael Paige,Small Business,Computer Peripherals,2427.25
Pete Takahito,Corporate,Computer Peripherals,2427.09
Brenda Bowman,Home Office,Tables,2423.06
Katherine Nockton,Home Office,Storage & Organization,2421.44
Barry Blumstein,Small Business,Storage & Organization,2417.38
Sung Pak,Small Business,Chairs & Chairmats,2415.38
Erin Mull,Small Business,Tables,2409.42
Neoma Murray,Small Business,Paper,2407.84
Hilary Holden,Corporate,Telephones and Communication,2407.69
Rob Dowd,Corporate,Telephones and Communication,2405.46
Benjamin Farhat,Home Office,Appliances,2405
Alan Hwang,Corporate,Storage & Organization,2396.01
Bobby Elias,Small Business,Office Furnishings,2392.23
Ivan Liston,Consumer,Paper,2390.97
Elpida Rittenbach,Consumer,Chairs & Chairmats,2389.3
Tanja Norvell,Corporate,Appliances,2388.91
Bill Overfelt,Corporate,Telephones and Communication,2388.64
Cassandra Brandow,Home Office,Office Furnishings,2387.61
